 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
 รวมทั้งสิ้น ," 38,537,787 "," 9,864,593 "," 28,673,194 "," 2,247,270 "," 172,894 "," 137,663 "," 420,131 "," 152,586 "," 429,115 "," 444,568 "," 153,881 "," 186,010 "," 150,422 "," 3,773,372 "," 127,389 "," 265,238 "," 397,307 "," 1,516,155 "," 720,105 "," 380,346 "," 132,429 "," 234,403 "," 8,261,003 ", -   ," 371,447 "," 206,662 "," 722,859 "," 402,805 "," 502,112 "," 1,333,616 "," 456,348 "," 123,979 "," 158,503 "," 115,565 "," 214,225 "," 269,063 "," 672,090 "," 216,490 "," 471,375 "," 844,046 "," 289,231 "," 332,396 "," 399,262 "," 158,929 "," 6,829,745 "," 722,440 "," 63,048 "," 1,417,165 "," 267,947 "," 231,781 "," 276,260 "," 455,952 "," 255,970 "," 259,402 "," 312,222 "," 228,528 "," 496,498 "," 357,557 "," 289,075 "," 454,091 "," 564,037 "," 177,772 "," 2,834,550 "," 487,087 "," 401,977 "," 477,958 "," 499,492 "," 236,044 "," 72,991 "," 325,535 "," 333,466 "," 4,727,254 "," 293,724 "," 89,094 "," 611,472 "," 123,774 "," 617,307 "," 248,684 "," 473,782 "," 246,489 "," 347,643 "," 820,421 "," 132,354 "," 224,172 "," 269,343 "," 228,995 "
 Grand Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ," 37,283,199 "," 9,679,701 "," 27,603,498 "," 2,081,348 "," 164,633 "," 132,379 "," 403,789 "," 146,673 "," 396,610 "," 420,156 "," 132,555 "," 167,293 "," 117,260 "," 3,630,251 "," 123,113 "," 253,667 "," 373,795 "," 1,461,888 "," 694,039 "," 371,546 "," 128,549 "," 223,654 "," 7,958,992 ", -   ," 351,094 "," 200,342 "," 702,543 "," 389,136 "," 481,844 "," 1,276,005 "," 438,504 "," 120,563 "," 150,008 "," 112,170 "," 208,257 "," 257,561 "," 649,085 "," 211,396 "," 462,010 "," 814,088 "," 276,161 "," 319,605 "," 384,524 "," 154,096 "," 6,640,609 "," 706,149 "," 61,885 "," 1,392,078 "," 260,662 "," 225,705 "," 271,619 "," 446,274 "," 249,735 "," 253,053 "," 301,388 "," 221,055 "," 482,074 "," 339,556 "," 279,574 "," 439,958 "," 538,781 "," 171,063 "," 2,689,564 "," 459,189 "," 383,032 "," 439,131 "," 480,831 "," 221,465 "," 69,500 "," 314,459 "," 321,957 "," 4,602,734 "," 286,389 "," 85,460 "," 591,570 "," 119,466 "," 601,659 "," 241,547 "," 461,494 "," 240,029 "," 340,113 "," 794,850 "," 129,684 "," 220,173 "," 264,692 "," 225,608 "
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน Sedan (Not more than 7 Pass.) ," 8,855,929 "," 4,292,421 "," 4,563,508 "," 416,741 "," 25,342 "," 22,048 "," 74,333 "," 26,812 "," 73,701 "," 85,924 "," 29,503 "," 63,410 "," 15,668 "," 670,851 "," 22,824 "," 45,067 "," 61,845 "," 281,323 "," 150,725 "," 65,406 "," 14,795 "," 28,866 "," 1,164,812 ",," 37,300 "," 25,201 "," 108,663 "," 41,066 "," 49,865 "," 228,392 "," 48,316 "," 13,591 "," 17,983 "," 12,526 "," 28,659 "," 35,801 "," 106,288 "," 22,111 "," 54,711 "," 177,711 "," 37,767 "," 41,860 "," 53,953 "," 23,048 "," 1,072,738 "," 112,772 "," 2,634 "," 320,414 "," 34,521 "," 28,571 "," 30,958 "," 78,425 "," 37,212 "," 33,776 "," 34,765 "," 26,711 "," 101,220 "," 43,076 "," 28,470 "," 47,515 "," 86,861 "," 24,837 "," 368,440 "," 57,691 "," 60,571 "," 73,335 "," 67,097 "," 8,123 "," 9,192 "," 50,864 "," 41,567 "," 869,926 "," 38,327 "," 11,683 "," 119,269 "," 14,178 "," 106,641 "," 49,977 "," 114,738 "," 36,131 "," 54,956 "," 220,669 "," 17,294 "," 27,421 "," 36,344 "," 22,298 "
     รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน Microbus & Passenger Van ," 424,737 "," 214,130 "," 210,607 "," 28,124 "," 1,203 "," 1,277 "," 3,721 "," 1,363 "," 3,440 "," 4,684 "," 3,710 "," 5,839 "," 2,887 "," 28,356 "," 1,412 "," 2,618 "," 3,602 "," 10,113 "," 5,170 "," 2,755 ", 918 ," 1,768 "," 58,170 ",," 2,661 "," 1,679 "," 4,736 "," 3,142 "," 3,171 "," 9,364 "," 3,359 ", 902 , 846 , 603 ," 1,615 "," 1,815 "," 4,947 "," 1,474 "," 3,347 "," 6,270 "," 2,552 "," 2,135 "," 2,526 "," 1,026 "," 48,820 "," 5,515 ", 535 ," 12,041 "," 1,571 "," 1,338 "," 2,268 "," 4,076 "," 1,531 "," 1,886 "," 2,235 "," 1,856 "," 3,672 "," 1,841 "," 1,716 "," 2,210 "," 3,490 "," 1,039 "," 19,016 "," 3,470 "," 2,779 "," 3,671 "," 3,300 ", 969 , 653 ," 2,356 "," 1,818 "," 28,121 "," 1,346 ", 599 ," 3,693 ", 763 ," 3,443 "," 1,786 "," 3,113 "," 1,118 "," 1,456 "," 5,833 ", 785 ," 1,498 "," 1,422 "," 1,266 "
     รย. 3 รถยนต์บรรทุกส่วนบุคคล Van & Pick Up ," 6,466,083 "," 1,329,647 "," 5,136,436 "," 392,733 "," 32,612 "," 22,467 "," 76,150 "," 29,880 "," 71,636 "," 73,246 "," 30,218 "," 39,735 "," 16,789 "," 624,459 "," 24,441 "," 51,812 "," 71,072 "," 192,432 "," 123,001 "," 88,581 "," 23,818 "," 49,302 "," 1,592,349 ",," 67,139 "," 43,921 "," 140,089 "," 85,947 "," 83,983 "," 237,802 "," 76,658 "," 25,460 "," 37,770 "," 20,695 "," 38,330 "," 64,350 "," 121,658 "," 33,060 "," 85,942 "," 181,766 "," 70,207 "," 65,500 "," 80,320 "," 31,752 "," 1,263,928 "," 135,311 "," 7,539 "," 243,488 "," 51,076 "," 49,613 "," 60,981 "," 89,018 "," 50,563 "," 43,524 "," 55,229 "," 41,572 "," 87,665 "," 68,835 "," 49,140 "," 97,130 "," 98,842 "," 34,402 "," 499,206 "," 94,704 "," 75,984 "," 99,394 "," 83,823 "," 11,426 "," 12,689 "," 57,197 "," 63,989 "," 763,761 "," 76,943 "," 15,964 "," 120,721 "," 17,910 "," 111,804 "," 52,632 "," 43,199 "," 39,765 "," 54,561 "," 126,485 "," 15,956 "," 31,958 "," 33,359 "," 22,504 "
     รย. 4 รถยนต์สามล้อส่วนบุคคล Motortricycle ," 1,592 ", 846 , 746 , 344 , -   , -   , 6 , -   , 2 , 6 , 4 , 306 , 20 , 42 , -   , -   , 2 , 29 , 2 , 7 , 2 , -   , 43 ,, 1 , -   , 16 , -   , 1 , 12 , -   , -   , -   , -   , -   , 1 , 6 , 1 , -   , 2 , -   , -   , 1 , 2 , 164 , 5 , -   , 58 , 18 , -   , 2 , 3 , 2 , 4 , 1 , 3 , 53 , 1 , 3 , 9 , 2 , -   , 32 , 4 , 3 , 10 , 1 , 3 , 1 , 6 , 4 , 121 , 2 , 1 , 6 , 1 , 10 , 7 , 6 , 3 , 53 , 27 , 2 , 2 , 1 , -   
     รย. 5 รถยนต์รับจ้างระหว่างจังหวัด Interprovincial Taxi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
