หมายเลขทางหลวง,หมายเลขตอนควบคุม,ชื่อตอน,รถยนต์นั่งไม่เกิน 7 คน,รถยนต์นั่งเกิน  7 คน,รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก,รถบรรทุกขนาดกลาง,รถบรรทุกขนาดใหญ่,รถบรรทุกพ่วง,รถบรรทุกกึ่งพ่วง,รวม,รถจักรยานยนต์,จังหวัด
1,101,อนุสาวรีย์หลักสี่ - สะพานใหม่,9140841,4743869,287766,816651,1004553,2836926,302549,95594,63072,29237,19321058,3102354,กรุงเทพมหานคร
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,30571035,15865605,962417,2731244,3359672,9487941,1011857,319707,210941,97780,64618199,10375651,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,765402558,161776329,79421142,18144103,53360887,274844212,39176921,16635871,12082332,10561739,1431406094,72048941,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,322764076,109116597,10210233,18506632,36765260,177846155,71771103,10944883,4786924,3312944,766024807,47668029,ปทุมธานี
1,300,ประตูน้ำพระอินทร์ - หนองแค,398951030,208652162,70565939,22192606,72222696,154346251,140645764,92679179,85198972,75020333,1320474932,26845414,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,132573840,126262990,4374160,6970040,8646120,139365030,16755690,18298910,18932550,16168040,488347370,5942930,สระบุรี
1,402,หินกอง - ปากข้าวสาร,94695600,90187850,3124400,4978600,6175800,99546450,11968350,13070650,13523250,11548600,348819550,4244950,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,109563464,113122440,5891242,4603952,4104181,22058081,12123236,13614977,35074847,44411481,364567901,11843062,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,45086945,44471030,7000394,7350915,6860186,31001030,16840004,17355770,18863008,17500985,212330267,23194439,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,28272608,29932336,5115110,3344495,1434377,6867840,3866737,3752273,5791163,3630655,92007594,6399253,สระบุรี
1,502,ดงจำปา - แยกร.พ.อานันทมหิดล,35666760,37760558,6452868,4219183,1809510,8663990,4878007,4733607,7305729,4580182,116070394,8072854,ลพบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,63618631,14537789,263366,347643,1127205,70445071,2886489,800632,1969976,747959,156744761,30287061,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,33313664,12694443,1648192,1634738,2845654,14006270,1883648,2166195,2879291,1722193,74794288,11940984,ลพบุรี
1,505,หนองม่วง - ลำพยนต์,20782405,7919305,1028209,1019815,1775234,8737675,1175096,1351360,1796218,1074373,46659690,7449267,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,6099573,1312959,56860,72368,175750,8927088,682325,775370,2160696,868414,21131403,2295094,นครสวรรค์
1,602,เกษตรชัย - ตาคลี,11334542,3306539,60532,75665,68098,8731683,673414,476686,953373,204294,25884826,8262563,นครสวรรค์
